./logs/540-1/C.HTML
Fragments;NumFiles
2;250
3;65
4;32
5;22
6;9
7;3
8;5
9;2
10;1
11;1
12;1
13;1
14;1
19;1
22;1
29;1
30;1
31;1
103;1
116;1
177;1
195;1
207;1
232;1
539;1


,./logs/540-10/C.HTML
Fragments;NumFiles
2;322
3;138
4;82
5;35
6;10
7;8
8;4
9;5
10;5
11;2
12;2
13;2
14;1
15;2
16;2
22;1
27;1
31;1
47;1


,./logs/540-11/C.HTML
Fragments;NumFiles
2;357
3;132
4;93
5;56
6;39
7;15
8;8
9;5
10;4
12;2
14;1
15;3
16;2
17;6
22;1
31;1
43;1
46;1
48;2
51;1
55;1
69;1
100;1
256;1
445;1


,./logs/540-12/C.HTML
Fragments;NumFiles
2;828
3;332
4;118
5;69
6;56
7;32
8;19
9;19
10;8
11;17
12;9
13;12
14;8
15;8
16;8
17;5
18;1
19;3
20;2
21;4
22;1
24;1
27;2
28;2
29;1
30;1
31;1
32;2
39;3
42;1
51;1
62;1
63;1
66;1
67;2
68;1
73;1
90;2
134;1
144;1
146;1
189;1
423;1
670;1
762;1
3240;1
7364;1


,./logs/540-13/C.HTML
Fragments;NumFiles
2;1046
3;117
4;41
5;15
6;7
7;9
8;1
9;2
15;1
25;1


,./logs/540-14/C.HTML
Fragments;NumFiles
2;93
3;39
4;38
5;9
6;4
7;5
9;2
12;3
17;1
25;1
37;1
95;1
98;1


,./logs/540-15/C.HTML
Fragments;NumFiles
2;52
3;19
4;5
5;4
6;3
7;2
9;1
19;1
26;1
41;1


,./logs/540-2/C.HTML
Fragments;NumFiles
2;492
3;213
4;88
5;41
6;25
7;10
8;10
9;9
10;5
11;2
12;4
13;3
14;1
15;2
16;2
17;5
18;1
19;1
20;1
22;2
23;1
25;1
27;1
31;1
70;1
103;1
127;1
196;1
768;1


,./logs/540-3/C.HTML
Fragments;NumFiles
2;391
3;93
4;76
5;37
6;17
7;6
8;9
9;2
10;2
12;5
13;4
14;1
15;1
16;1
17;1
18;1
22;2
32;1
35;1
44;1
83;1
255;1


,./logs/540-4/C.HTML
Fragments;NumFiles
2;268
3;91
4;53
5;44
6;15
7;8
8;6
9;8
10;4
11;4
12;3
13;3
14;3
15;2
17;3
18;2
20;1
21;1
26;2
29;1
66;1


,./logs/540-5/C.HTML
Fragments;NumFiles
2;315
3;102
4;34
5;25
6;7
7;7
8;5
9;1
10;2
11;1
12;1
16;1
17;1
18;2
23;1
26;1
30;1
34;2
43;1
64;1
66;1
80;1
193;1
281;1
1140;1


,./logs/540-6/C.HTML
Fragments;NumFiles
2;111
3;373
4;102
5;43
6;4
7;1
9;1
11;1
14;1
15;1
16;1
17;1
26;1


,./logs/540-7/C.HTML
Fragments;NumFiles
2;29
3;9
4;7
12;1
22;1


,./logs/540-8/C.HTML
Fragments;NumFiles
2;278
3;76
4;38
5;18
6;13
7;6
8;3
9;3
10;4
11;2
12;1
13;1
14;4
16;1
17;1
20;2
24;3
31;1
38;1
61;1
126;1
234;1
370;1


,./logs/540-9/C.HTML
Fragments;NumFiles
2;12
3;5
4;5
6;2
7;1
8;1


,./logs/FKN-544-01/C.HTML
Fragments;NumFiles
2;370
3;45
4;15
5;4
6;3
7;3
8;1
9;1
10;2
11;2
13;1
20;1
25;1
37;1
43;1
81;1


,./logs/FKN-544-02/C.HTML
Fragments;NumFiles
2;122
3;26
4;25
5;7
6;8
7;1
8;1
9;2
10;3
11;2
12;2
13;1
30;1
34;1
37;1
41;1
42;1
581;1


,./logs/FKN-544-03/C.HTML
Fragments;NumFiles
2;167
3;69
4;25
5;25
6;8
7;8
8;7
9;4
10;3
11;2
12;3
13;4
14;2
15;1
16;1
19;1
23;1
26;1
27;1
59;1
63;1
69;2
191;1


,./logs/FKN-544-04/C.HTML
Fragments;NumFiles
2;66
3;19
4;13
5;9
6;3
7;2
9;2
11;1
12;3
19;1
30;1
33;1
35;1
37;1
60;1
583;1


,./logs/FKN-544-05/C.HTML
Fragments;NumFiles
2;13
3;6
4;2
5;2
22;1


,./logs/FKN-544-06/C.HTML
Fragments;NumFiles
2;52
3;36
4;10
5;7
6;4
7;5
8;3
10;2
11;2
12;1
13;1
18;1
29;1
37;1
40;1
48;1
55;1
75;1
96;1
105;1


,./logs/FKN-544-07/C.HTML
Fragments;NumFiles
2;79
3;28
4;13
5;10
6;5
7;8
8;7
9;2
10;3
11;1
12;4
31;1
35;2
59;2
87;1
229;1


,./logs/FKN-544-08/C.HTML
Fragments;NumFiles
2;70
3;34
4;12
5;10
6;6
7;3
8;4
9;4
10;1
12;1
13;1
14;1
15;1
26;1
35;1
38;1
41;1
45;1
130;1


,./logs/FKN-544-09/C.HTML
Fragments;NumFiles
2;37
3;15
4;10
5;7
6;3
7;2
8;1
9;1
10;3
11;1
12;1
14;1
16;1
33;1
41;1
546;1


,./logs/FKN-544-10/C.HTML
Fragments;NumFiles
2;75
3;24
4;11
5;7
6;6
7;5
8;2
10;1
12;3
13;3
14;1
20;1
27;1
30;1
41;1
97;1
242;1


,./logs/FKN-544-11/C.HTML
Fragments;NumFiles
2;108
3;14
4;7
5;8
6;5
7;1
9;2
11;1
21;1


,./logs/FKN-544-12/C.HTML
Fragments;NumFiles
2;60
3;20
4;16
5;3
6;9
7;1
8;3
10;1
11;3
12;1
15;1
16;1
18;1
32;1
43;1
88;1
108;1
232;1


,./logs/FKN-544-14/C.HTML
Fragments;NumFiles
2;31
3;14
4;3
5;1
6;3
8;1
9;1
11;4
13;1
27;1
40;2
49;1
88;1


,./logs/FKN-544-15/C.HTML
Fragments;NumFiles
2;129
3;42
4;11
5;7
6;4
8;1
15;1
17;1
32;1
53;1
68;1
578;1


