./logs/540-1/C.HTML
Fragments;NumFiles
0;28
1;75
2;6
0.28;6
0.6;7
0.09;6
0.5;16
0.25;6
0.37;3
0.04;34
0.42;8
0.06;75
0.79;1
0.66;16
0.02;5
0.21;1
0.08;6
0.33;7
0.1;3
0.62;1
0.11;3
0.13;2
0.31;1
0.07;17
0.01;15
0.12;20
0.44;2
0.4;8
0.27;1
1.03;1
0.2;1
0.03;5
0.18;2
0.71;2
0.8;1
0.75;1
0.94;1
0.17;1
0.05;3
0.22;1
0.16;1
0.14;1
0.57;2
0.36;1
0.41;1
0.55;1


,./logs/540-10/C.HTML
Fragments;NumFiles
0;81
1;22
2;2
0.07;18
0.16;6
0.42;2
0.04;65
0.08;16
0.1;6
0.02;75
0.06;50
0.75;1
0.5;12
0.15;4
0.35;1
0.37;4
0.22;4
0.25;6
0.05;30
0.33;6
0.01;47
0.03;79
0.14;4
0.66;15
0.23;1
0.21;3
0.18;10
0.27;1
0.28;4
0.13;4
0.4;4
0.09;9
0.12;24
0.11;7
0.6;1


,./logs/540-11/C.HTML
Fragments;NumFiles
0;75
1;38
2;2
4;1
12;1
0.08;13
0.02;85
0.22;3
0.66;23
0.1;12
0.6;1
0.04;44
0.09;20
0.01;62
0.4;9
0.06;46
0.14;10
0.12;29
0.03;76
0.27;2
0.11;10
0.42;2
0.13;11
0.33;16
0.17;4
0.25;11
0.18;13
0.05;37
0.5;16
0.15;4
0.16;8
0.07;18
0.24;1
0.28;10
0.2;5
0.75;4
0.37;3
0.23;2
0.3;1
0.26;1
0.8;1
0.56;1
0.83;1
0.35;1
0.62;1
0.43;1


,./logs/540-12/C.HTML
Fragments;NumFiles
0;116
1;172
2;4
0.66;75
0.07;64
0.06;216
0.16;23
0.01;71
0.13;11
0.08;51
0.5;68
0.05;34
0.27;7
0.8;14
0.09;35
0.02;57
0.33;25
0.04;50
0.12;62
0.03;39
0.11;28
0.4;56
0.28;30
0.36;1
0.18;24
0.1;52
0.2;31
0.17;9
0.15;16
0.25;39
0.42;11
0.14;10
0.22;14
0.37;13
0.53;1
0.3;5
0.26;2
0.75;13
0.21;2
0.71;3
0.55;1
0.23;4
0.6;13
0.19;3
0.35;1
0.56;3
0.43;2
0.62;2
0.83;2
0.85;1
0.41;1
0.58;1
0.32;1
0.57;1
0.9;1
0.96;1


,./logs/540-13/C.HTML
Fragments;NumFiles
0;81
1;180
2;4
0.5;174
0.44;1
0.04;20
0.11;14
0.07;7
0.14;4
0.66;228
0.08;17
0.21;4
0.33;50
0.28;41
0.05;16
0.01;28
0.02;35
0.2;14
0.12;18
0.4;119
